set,family,study,pred_vox,false_positive
GAN-cut-2.5D-T2-from-dual,GAN,ReMIND-003-post,23278,1
GAN-cut-2.5D-T2-from-dual,GAN,ReMIND-056-post,28032,1
GAN-cut-2.5D-T2-from-dual,GAN,ReMIND-096-post,32961,1
GAN-cut-2.5D-T2-from-dual,GAN,ReMIND-109-post,30994,1
GAN-cut-2.5D-T2-from-single,GAN,ReMIND-003-post,29112,1
GAN-cut-2.5D-T2-from-single,GAN,ReMIND-031-post,116976,1
GAN-cut-2.5D-T2-from-single,GAN,ReMIND-056-post,47360,1
GAN-cut-2.5D-T2-from-single,GAN,ReMIND-087-post,35698,1
GAN-cut-2.5D-T2-from-single,GAN,ReMIND-091-post,21658,1
GAN-cut-2.5D-T2-from-single,GAN,ReMIND-096-post,28080,1
GAN-cut-2.5D-T2-from-single,GAN,ReMIND-109-post,34031,1
GAN-cut-2D+3D-post-T2-from-dual,GAN,ReMIND-003-post,21468,1
GAN-cut-2D+3D-post-T2-from-dual,GAN,ReMIND-056-post,26098,1
GAN-cut-2D+3D-post-T2-from-dual,GAN,ReMIND-096-post,27755,1
GAN-cut-2D+3D-post-T2-from-dual,GAN,ReMIND-109-post,23301,1
GAN-cut-2D+3D-post-T2-from-single,GAN,ReMIND-003-post,25942,1
GAN-cut-2D+3D-post-T2-from-single,GAN,ReMIND-031-post,121567,1
GAN-cut-2D+3D-post-T2-from-single,GAN,ReMIND-056-post,44345,1
GAN-cut-2D+3D-post-T2-from-single,GAN,ReMIND-087-post,37181,1
GAN-cut-2D+3D-post-T2-from-single,GAN,ReMIND-091-post,29792,1
GAN-cut-2D+3D-post-T2-from-single,GAN,ReMIND-096-post,25149,1
GAN-cut-2D+3D-post-T2-from-single,GAN,ReMIND-109-post,31746,1
GAN-cut-2D-T2-from-dual,GAN,ReMIND-003-post,10368,1
GAN-cut-2D-T2-from-dual,GAN,ReMIND-056-post,712,1
GAN-cut-2D-T2-from-dual,GAN,ReMIND-096-post,15071,1
GAN-cut-2D-T2-from-dual,GAN,ReMIND-109-post,815,1
GAN-cut-2D-T2-from-single,GAN,ReMIND-003-post,27418,1
GAN-cut-2D-T2-from-single,GAN,ReMIND-031-post,130469,1
GAN-cut-2D-T2-from-single,GAN,ReMIND-056-post,47844,1
GAN-cut-2D-T2-from-single,GAN,ReMIND-087-post,38675,1
GAN-cut-2D-T2-from-single,GAN,ReMIND-091-post,21395,1
GAN-cut-2D-T2-from-single,GAN,ReMIND-096-post,28295,1
GAN-cut-2D-T2-from-single,GAN,ReMIND-109-post,42800,1
GAN-cut-3D-T2-from-dual,GAN,ReMIND-003-post,7213,1
GAN-cut-3D-T2-from-dual,GAN,ReMIND-056-post,18520,1
GAN-cut-3D-T2-from-dual,GAN,ReMIND-096-post,7385,1
GAN-cut-3D-T2-from-dual,GAN,ReMIND-109-post,2006,1
GAN-cut-3D-T2-from-single,GAN,ReMIND-003-post,6746,1
GAN-cut-3D-T2-from-single,GAN,ReMIND-031-post,74490,1
GAN-cut-3D-T2-from-single,GAN,ReMIND-056-post,9247,1
GAN-cut-3D-T2-from-single,GAN,ReMIND-087-post,11584,1
GAN-cut-3D-T2-from-single,GAN,ReMIND-091-post,4943,1
GAN-cut-3D-T2-from-single,GAN,ReMIND-096-post,2665,1
GAN-cut-3D-T2-from-single,GAN,ReMIND-109-post,578,1
GAN-cyclegan-2.5D-T2-from-dual,GAN,ReMIND-003-post,28543,1
GAN-cyclegan-2.5D-T2-from-dual,GAN,ReMIND-056-post,45440,1
GAN-cyclegan-2.5D-T2-from-dual,GAN,ReMIND-096-post,27691,1
GAN-cyclegan-2.5D-T2-from-dual,GAN,ReMIND-109-post,28273,1
GAN-cyclegan-2.5D-T2-from-single,GAN,ReMIND-003-post,28395,1
GAN-cyclegan-2.5D-T2-from-single,GAN,ReMIND-031-post,117270,1
GAN-cyclegan-2.5D-T2-from-single,GAN,ReMIND-056-post,60864,1
GAN-cyclegan-2.5D-T2-from-single,GAN,ReMIND-087-post,40450,1
GAN-cyclegan-2.5D-T2-from-single,GAN,ReMIND-091-post,33916,1
GAN-cyclegan-2.5D-T2-from-single,GAN,ReMIND-096-post,31381,1
GAN-cyclegan-2.5D-T2-from-single,GAN,ReMIND-109-post,46449,1
GAN-cyclegan-2D+3D-post-T2-from-dual,GAN,ReMIND-003-post,27337,1
GAN-cyclegan-2D+3D-post-T2-from-dual,GAN,ReMIND-056-post,40232,1
GAN-cyclegan-2D+3D-post-T2-from-dual,GAN,ReMIND-096-post,22961,1
GAN-cyclegan-2D+3D-post-T2-from-dual,GAN,ReMIND-109-post,17654,1
GAN-cyclegan-2D+3D-post-T2-from-single,GAN,ReMIND-003-post,30896,1
GAN-cyclegan-2D+3D-post-T2-from-single,GAN,ReMIND-031-post,101765,1
GAN-cyclegan-2D+3D-post-T2-from-single,GAN,ReMIND-056-post,50538,1
GAN-cyclegan-2D+3D-post-T2-from-single,GAN,ReMIND-087-post,22278,1
GAN-cyclegan-2D+3D-post-T2-from-single,GAN,ReMIND-091-post,21809,1
GAN-cyclegan-2D+3D-post-T2-from-single,GAN,ReMIND-096-post,13929,1
GAN-cyclegan-2D+3D-post-T2-from-single,GAN,ReMIND-109-post,30326,1
GAN-cyclegan-2D-T2-from-dual,GAN,ReMIND-003-post,24861,1
GAN-cyclegan-2D-T2-from-dual,GAN,ReMIND-056-post,48909,1
GAN-cyclegan-2D-T2-from-dual,GAN,ReMIND-096-post,28992,1
GAN-cyclegan-2D-T2-from-dual,GAN,ReMIND-109-post,16594,1
GAN-cyclegan-2D-T2-from-single,GAN,ReMIND-003-post,3125,1
GAN-cyclegan-2D-T2-from-single,GAN,ReMIND-031-post,50852,1
GAN-cyclegan-2D-T2-from-single,GAN,ReMIND-056-post,44949,1
GAN-cyclegan-2D-T2-from-single,GAN,ReMIND-087-post,13097,1
GAN-cyclegan-2D-T2-from-single,GAN,ReMIND-091-post,649,1
GAN-cyclegan-2D-T2-from-single,GAN,ReMIND-096-post,7018,1
GAN-cyclegan-2D-T2-from-single,GAN,ReMIND-109-post,32062,1
GAN-cyclegan-3D-T2-from-dual,GAN,ReMIND-003-post,2897,1
GAN-cyclegan-3D-T2-from-dual,GAN,ReMIND-056-post,10380,1
GAN-cyclegan-3D-T2-from-dual,GAN,ReMIND-096-post,17027,1
GAN-cyclegan-3D-T2-from-dual,GAN,ReMIND-109-post,23231,1
GAN-cyclegan-3D-T2-from-single,GAN,ReMIND-003-post,9376,1
GAN-cyclegan-3D-T2-from-single,GAN,ReMIND-031-post,34218,1
GAN-cyclegan-3D-T2-from-single,GAN,ReMIND-056-post,17307,1
GAN-cyclegan-3D-T2-from-single,GAN,ReMIND-087-post,12858,1
GAN-cyclegan-3D-T2-from-single,GAN,ReMIND-091-post,5865,1
GAN-cyclegan-3D-T2-from-single,GAN,ReMIND-096-post,16509,1
GAN-cyclegan-3D-T2-from-single,GAN,ReMIND-109-post,8084,1
GAN-pix2pix-2.5D-T2-from-dual,GAN,ReMIND-003-post,21639,1
GAN-pix2pix-2.5D-T2-from-dual,GAN,ReMIND-056-post,48085,1
GAN-pix2pix-2.5D-T2-from-dual,GAN,ReMIND-096-post,32762,1
GAN-pix2pix-2.5D-T2-from-dual,GAN,ReMIND-109-post,24071,1
GAN-pix2pix-2.5D-T2-from-single,GAN,ReMIND-003-post,25115,1
GAN-pix2pix-2.5D-T2-from-single,GAN,ReMIND-031-post,102341,1
GAN-pix2pix-2.5D-T2-from-single,GAN,ReMIND-056-post,52399,1
GAN-pix2pix-2.5D-T2-from-single,GAN,ReMIND-087-post,37750,1
GAN-pix2pix-2.5D-T2-from-single,GAN,ReMIND-091-post,16240,1
GAN-pix2pix-2.5D-T2-from-single,GAN,ReMIND-096-post,34158,1
GAN-pix2pix-2.5D-T2-from-single,GAN,ReMIND-109-post,52818,1
GAN-pix2pix-2D+3D-post-T2-from-dual,GAN,ReMIND-003-post,17251,1
GAN-pix2pix-2D+3D-post-T2-from-dual,GAN,ReMIND-056-post,16454,1
GAN-pix2pix-2D+3D-post-T2-from-dual,GAN,ReMIND-096-post,25315,1
GAN-pix2pix-2D+3D-post-T2-from-dual,GAN,ReMIND-109-post,12669,1
GAN-pix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-003-post,19155,1
GAN-pix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-031-post,112235,1
GAN-pix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-056-post,41627,1
GAN-pix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-087-post,30247,1
GAN-pix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-091-post,11905,1
GAN-pix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-096-post,5205,1
GAN-pix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-109-post,15064,1
GAN-pix2pix-2D-T2-from-dual,GAN,ReMIND-003-post,22353,1
GAN-pix2pix-2D-T2-from-dual,GAN,ReMIND-056-post,33271,1
GAN-pix2pix-2D-T2-from-dual,GAN,ReMIND-096-post,33743,1
